Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Please select your gender,Kindly select your age bracket,Please select your department from the list below,How would you rate the state of your mental well-being?,How would you rate the current state of your mental well-being?,"If you need support in Q6 above, please state what support you would need?",Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Addressed - Emotional intelligence,Mental Wellness Issues Would Like Addressed - Financial constraints,Mental Wellness Issues Would Like Addressed - Trauma,Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Relationship Difficulties,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Other (please specify),Are you going through a tough emotional situation right now?,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?","During the past 4 weeks, how often has your mental health affected your ability to get work done?","During the past two weeks, how often has your mental health affected your relationships?",Have you ever been diagnosed with a mental disorder before?,Have you seen a therapist in the recent past?,Is there a history of mental disorder in your family?,Do you feel content with your relationships and family?,When was the last time you were really happy?,When was the last time you felt good about yourself?,How often do you feel positive about your life?,When was the last time you had a positive outlook on life?,How many hours do you sleep per day?,How is your quality of sleep?,How often do you smoke?,How often do you drink?,How do you usually cope with the general stresses of life and the mental health challenges that come your way?,Coping Mechanisms - Other (please specify),"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?",Have you ever attended a Mental Health Awareness Session?,How would you prefer to receive information and advice about mental health?,Preferred Method of Receiving Mental Health Information - Other (please specify),Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?,"EAP Awareness & Usage - If yes to Question 29, have you ever accessed the service?","EAP Awareness & Usage - If no, please state the reason.",Would you like us to link you or your dependents to our professional counselors for support?
114737401796.0,I Agree,Female,25-39 years,Cargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114737398709.0,I Agree,Male,40-49 years,Flight Operations,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,I don't remember,4 - 6,Bad,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,Failure rate 99% Relapses normal ,No
114737397155.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Once in a while,Few months ago,4 - 6,Very Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,No,,,No
114737396083.0,I Agree,Male,25-39 years,Flight Operations,Very Good,I am OK and coping well,,,,,,,,,,NONE,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,There has been no upcoming or reason to visit,No
114737391119.0,I Agree,Female,25-39 years,Managing Director's Office,Good,I’m just there,,,,Financial constraints,Trauma,,,,,,No,Not Sure,Not at all,Very often,No,No,No,No,I don't remember,I don't remember,Once in a while,I don't remember,Less than 4,OK,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,No,Online,,No,,,No
114737389373.0,I Agree,Male,40-49 years,Cargo,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few months ago,Few days ago,Most of the time,Few days ago,4 - 6,Very Bad,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,One on One session,,Yes,Yes,,Yes
114737387732.0,I Agree,Female,25-39 years,Information Technology,Fair,I need support,Therapy,,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,,,,No,Yes,Not so often,Not so often,No,No,No,Not Sure,Few years ago,Few weeks ago,About half the time,Few months ago,7 - 9,Good,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,One on One session,,Yes,No,Not necessary,Yes
114737384161.0,I Agree,Female,25-39 years,Human Resources,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I keep my issues to myself,I Pray,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,No,I just saw it on email recently.,Yes
114737330811.0,I Agree,Male,40-49 years,Flight Operations,Very Good,I am OK and coping well,,,Emotional intelligence,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,I don't remember,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,Yes,Online,,Yes,No,Don’t need it,No
114737331737.0,I Agree,Female,40-49 years,Technical,Fair,I am OK and coping well,NOT YET DECIDED,Work/job related stressors,Emotional intelligence,Financial constraints,,,,Unresolved Childhood Difficulties,,,No,No,Not at all,Not at all,No,No,No,No,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I seek for available options online,secondly i keep to myself,No support or potential support is available from either family or friends,No,Online,,Yes,Yes,,Yes
114737381114.0,I Agree,Male,25-39 years,Technical,Fair,I’m just there,,Work/job related stressors,,,,,Relationship Difficulties,,,,Not Sure,Not Sure,Not so often,Somewhat often,No,No,No,No,Few months ago,Few months ago,Once in a while,Few weeks ago,4 - 6,Bad,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,Yes,One on One session,,Yes,No,,Yes
114737374879.0,I Agree,Male,40-49 years,Ground Operations,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,Yes,Yes,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,OK,Never,Once everyday,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Pamphlets and nuggets,,Yes,No,THE TIME I NEEDED IT I DINT KNOW THAT IT EXISTED,Yes
114737379350.0,I Agree,Male,40-49 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114737375375.0,I Agree,Female,40-49 years,Finance,Good,I am not OK,,,,,,,,,Anxiety and Depression,,Yes,Yes,Not at all,Not at all,No,No,No,No,Few weeks ago,Few days ago,Always,Few days ago,4 - 6,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,"no reason ,its not yet time",No
114737376056.0,I Agree,Female,25-39 years,Managing Director's Office,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,Yes,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few months ago,4 - 6,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,No,,,No
114737374724.0,I Agree,Female,40-49 years,Finance,Fair,I’m just there,counselling,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Yes,Yes,Somewhat often,Somewhat often,Yes,Yes,No,Yes,Few months ago,Few years ago,Once in a while,Few months ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,Yes,,Yes
114737375244.0,I Agree,Male,25-39 years,Finance,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Not so often,Very often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,Yes,,Yes
114737372621.0,I Agree,Female,25-39 years,Managing Director's Office,Poor,I am not OK,,Work/job related stressors,,,,,,,,,Yes,Yes,Very often,Very often,No,No,No,Yes,Few years ago,Few years ago,Once in a while,I don't remember,4 - 6,Bad,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,No,I am scared of being victimised just like i have experienced before while accesing other avenues of help at kq,Yes
114737371835.0,I Agree,Female,25-39 years,Commercial,Poor,I need support,I already have support,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,,Unresolved Childhood Difficulties,Anxiety and Depression,ADHD and MDD(MAJOR DEPRESSIVE DISORDER),Yes,Yes,Not so often,Somewhat often,Yes,Yes,Yes,Not Sure,I don't remember,I don't remember,Never,Few years ago,Less than 4,Bad,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,No,,,No
114737344645.0,I Agree,Female,25-39 years,Flight Operations,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,No,Not at all,Not so often,No,Yes,No,Yes,Few days ago,Few days ago,Always,Few days ago,9+,Very Good,Never,Never,I seek help from a processional counselor,Family and close friends,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,Yes,,Yes
114737370615.0,I Agree,Female,25-39 years,Information Technology,Good,I am not OK,,Work/job related stressors,Emotional intelligence,,,,,,,,No,Yes,Somewhat often,Somewhat often,No,Yes,No,Yes,Few days ago,Few days ago,Once in a while,Few days ago,4 - 6,OK,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,Yes,,No
114737369094.0,I Agree,Female,50+ years,Human Resources,Excellent,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Good,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,,,
114737368133.0,I Agree,Female,25-39 years,"Corporate Quality, Safety & Environment",Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,No,No,No,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,no need,No
114737368314.0,I Agree,Female,25-39 years,Flight Operations,Fair,I’m just there,I don't know,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,Yes,Not so often,Somewhat often,No,No,No,No,Few days ago,Few days ago,Once in a while,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Pamphlets and nuggets,,Yes,No,I don't trust pple,No
114737369299.0,I Agree,Female,40-49 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114737365810.0,I Agree,Female,25-39 years,Flight Operations,Very Good,I am OK and coping well,Financial management ,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,No,Not at all,Not so often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,Yes,Online,Online and one on one,Yes,No,I don't know about the proper channel to access it.   ,Yes
114737364803.0,I Agree,Female,40-49 years,Flight Operations,Fair,I’m just there,Better working environment,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,Yes,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,More than once everyday,Once in a few weeks,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,Yes,"Not applicable, I have accessed Counselling",No
114737365335.0,I Agree,Male,40-49 years,Human Resources,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,No,Not so often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Once everyday,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,Not applicable,Yes
114737367730.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114737364664.0,I Agree,Male,25-39 years,Human Resources,Fair,I’m just there,Maneuvering stress at work especially when it exceeds to my off work area (home),Work/job related stressors,,,,Substance and Drug Dependence,,Unresolved Childhood Difficulties,,,Not Sure,Yes,Somewhat often,Very often,No,No,No,Not Sure,Few months ago,Few months ago,Once in a while,Few months ago,4 - 6,Not Sure,Once everyday,Once in a few weeks,I go to the pub and drink,,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,Yes,No,I am sure I can get over this,Yes
114737365033.0,I Agree,Female,25-39 years,Commercial,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,,,Yes,Yes,Not at all,Very often,No,No,No,Yes,Few months ago,Few months ago,Most of the time,Few months ago,Less than 4,Not Sure,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,,,
114737367210.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114737360065.0,I Agree,Female,50+ years,Human Resources,Good,I’m just there,I am planning burial for a relative thats why currently am hanging in htere,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I engage relatives and friends,I talk to my husband who is also a confidant and a few good friends,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,"Both group sessions, online and one on one sessions would be ok",Yes,No,I do not have a concern to neccessitate EAP assistance,No
114737360914.0,I Agree,Female,25-39 years,Managing Director's Office,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,Trauma,,Relationship Difficulties,,Anxiety and Depression,,No,Yes,Very often,Very often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,No,,Yes
114737364132.0,I Agree,Male,40-49 years,Finance,Good,I am OK and coping well,,,Emotional intelligence,,,Substance and Drug Dependence,,,,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,,,,,,,,,,,,,,
114737353170.0,I Disagree,Male,50+ years,Flight Operations,Good,I’m just there,,Work/job related stressors,,,,,Relationship Difficulties,,Anxiety and Depression,,Yes,Yes,Somewhat often,Somewhat often,No,No,No,Not Sure,Few months ago,I don't remember,Once in a while,Few months ago,7 - 9,Good,Never,Once everyday,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,,,
114737358311.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,,,Anxiety and Depression,,Not Sure,No,Not so often,Not at all,No,No,No,Not Sure,Few months ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Pamphlets and nuggets,,Yes,No,I have not given it a thought ,Yes
114737358329.0,I Agree,Female,25-39 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,Yes,Somewhat often,Not so often,No,No,No,Yes,Few weeks ago,Few weeks ago,Most of the time,Few days ago,7 - 9,Bad,Never,Never,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,One on One session,,Yes,No,Am okay,No
114737359393.0,I Agree,Female,40-49 years,Managing Director's Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114737354975.0,I Agree,Female,25-39 years,Corporate Communications & Public Affairs,Very Good,I am OK and coping well,,,Emotional intelligence,,,Substance and Drug Dependence,,,,,No,No,Not at all,Not at all,No,Yes,Yes,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,Hadn't had a reason to,No
114737356521.0,I Agree,Female,50+ years,Human Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114737351830.0,I Agree,Female,25-39 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,Trauma,,Relationship Difficulties,,,,Yes,Yes,Not so often,Not so often,No,Yes,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,Yes,,No
114737348012.0,I Agree,Female,40-49 years,Information Technology,Fair,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,No,Not Sure,Not so often,Not so often,No,No,No,No,I don't remember,I don't remember,Once in a while,I don't remember,4 - 6,Good,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,No,Fear of exposure ,No
114737349926.0,I Agree,Male,25-39 years,Information Technology,Fair,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,No,Yes,Somewhat often,Somewhat often,No,No,No,No,Few months ago,I don't remember,Once in a while,Few weeks ago,4 - 6,Good,Never,Once in a few weeks,,,,,,,,,,
114737348601.0,I Agree,Female,25-39 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,Not Sure,No,Not so often,Not at all,No,No,No,Yes,Few years ago,Few months ago,About half the time,Few months ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Online,,No,,,No
114737348817.0,I Agree,Male,40-49 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,Trauma,,Relationship Difficulties,,,,No,No,Not so often,Not so often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,Yes,No,Haven't felt the need to use it yet,Yes
114737342273.0,I Agree,Female,40-49 years,Cargo,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,,,,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few weeks ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,Yes,,No
114737346310.0,I Agree,Male,25-39 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,Am ok,No
114737346784.0,I Agree,Female,25-39 years,Commercial,Fair,I’m just there,,Work/job related stressors,,,,,,,,,Not Sure,Yes,Not so often,Not so often,No,No,No,Yes,Few years ago,Few years ago,Once in a while,Few months ago,4 - 6,OK,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,No,,,
114737342658.0,I Agree,Male,25-39 years,Human Resources,Good,I am OK and coping well,n/A,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,,,,,No,No,Somewhat often,Not so often,No,Yes,No,Yes,Few days ago,Few days ago,About half the time,Few weeks ago,7 - 9,Very Good,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,,Yes,Yes,,Yes
114737342962.0,I Agree,Female,40-49 years,Cargo,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,Yes,Not so often,Not so often,Yes,Yes,No,Yes,Few months ago,Few years ago,Once in a while,Few weeks ago,7 - 9,Good,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,No specific reason,No
114737340525.0,I Agree,Male,25-39 years,Ground Operations,Fair,I am not OK,Counseling ,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,Anxiety and Depression,,Yes,Yes,Not so often,Somewhat often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,No support or potential support is available from either family or friends,No,One on One session,,No,,,No
114737341236.0,I Agree,Male,50+ years,Managing Director's Office,Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,Not Sure,Yes,Somewhat often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,I have never had the need to,No
114737337154.0,I Agree,Male,40-49 years,Ground Operations,Excellent,I am OK and coping well,Non,Work/job related stressors,Emotional intelligence,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Never,I seek help from a processional counselor,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,No,"Most of time, online session find me either working or engaged somewhere.",Yes
114737338532.0,I Agree,Female,50+ years,Cargo,Fair,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,Yes,Somewhat often,Somewhat often,No,No,No,Not Sure,Few months ago,Few months ago,Once in a while,Few months ago,4 - 6,OK,Never,Never,,,,,,,,,,
114737340638.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,N / A,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,WHEN LEADERS ARE THE STRESSORS,Yes,Yes,Not at all,Very often,No,No,No,No,I don't remember,I don't remember,About half the time,Few years ago,Less than 4,Bad,Never,Never,I keep my issues to myself,OPTIONS ONLINE,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,No,PRIVACY ISSUES,No
114737341021.0,I Agree,Male,25-39 years,Flight Operations,Excellent,I am OK and coping well,,Work/job related stressors,,,,,Relationship Difficulties,,,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Never,I engage relatives and friends,Exercise and diet. ,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Pamphlets and nuggets,,Yes,No,Not required ,No
114737337704.0,I Agree,Female,50+ years,Technical,Very Good,I am OK and coping well,,,,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Very Good,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,,Yes,No,I have no need at the moment,Yes
114737338296.0,I Agree,Male,25-39 years,Finance,Fair,I’m just there,,,Emotional intelligence,,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not at all,Not so often,Yes,No,Not sure,No,I don't remember,Few days ago,Once in a while,Few days ago,7 - 9,OK,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,No,,,No
114737338046.0,I Agree,Female,40-49 years,Flight Operations,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,Unresolved Childhood Difficulties,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few years ago,Most of the time,Few months ago,4 - 6,OK,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,No,Never had a reason to,No
114737338401.0,I Agree,Male,25-39 years,Finance,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,Yes,Not at all,Not so often,No,No,No,Yes,I don't remember,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Pamphlets and nuggets,,Yes,No,My problems are not major,No
114737333038.0,I Agree,Male,40-49 years,Technical,Very Good,I am OK and coping well, am ok,Work/job related stressors,Emotional intelligence,,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I seek for available options online,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,Yes,,Yes
114737336076.0,I Agree,Female,50+ years,Commercial,Very Good,I am OK and coping well,NOTHING SPECIFIC TO MENTION,,Emotional intelligence,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I seek help from my religious leader,,Above average degree of social support (Given or potentially available from family and friends).,No,Group session,,Yes,No,NEVER FELT ANY DESPRATE NEED FOR SAME AS I WAS ABLE TO MANAGE MYSELF THE SITUATIONS THAT HAPPENS ONCE A WHILE,No
114737334059.0,I Agree,Male,40-49 years,Technical,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Pamphlets and nuggets,,Yes,No,There was no reason ,Yes
114737331913.0,I Agree,Male,25-39 years,Ground Operations,Good,I am OK and coping well,,,Emotional intelligence,Financial constraints,,,,,,,No,No,Somewhat often,Somewhat often,No,No,No,Yes,I don't remember,Few weeks ago,Most of the time,Few weeks ago,4 - 6,Very Good,Never,Never,I seek help from my religious leader,,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,Yes,No,,No
114737334145.0,I Agree,Female,25-39 years,Technical,Fair,I’m just there,Psychological assessment and therapy ,Work/job related stressors,,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,Gender based violence ,Not Sure,Yes,Not so often,Not at all,No,No,No,No,Few months ago,Few weeks ago,Once in a while,Few weeks ago,4 - 6,Very Bad,Once everyday,Once in a few weeks,I seek for available options online,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Group session,,Yes,Yes,,Yes
